Vial Number,Day Crosse ,Treatment,F1 Vial ,Virgin Vial,# of Females,Day Collected,Male Date,# of Males,Notes
1,29-Sep,21,8,21,1,22-Sep,22-Sep,1,
2,29-Sep,21,8,21,1,22-Sep,22-Sep,1,
3,29-Sep,21,8,21,1,22-Sep,22-Sep,1,
4,29-Sep,21,15,28,1,22-Sep,22-Sep,1,
5,29-Sep,21,15,28,1,22-Sep,22-Sep,1,
6,29-Sep,21,11,25,1,22-Sep,22-Sep,1,
7,29-Sep,21,11,25,1,22-Sep,22-Sep,1,
8,29-Sep,21,11,25,1,22-Sep,22-Sep,1,
9,29-Sep,21,9,23,1,22-Sep,22-Sep,1,
10,29-Sep,21,9,23,1,22-Sep,22-Sep,1,
11,29-Sep,21,9,23,1,22-Sep,22-Sep,1,
12,29-Sep,21,10,24,1,22-Sep,22-Sep,1,
13,29-Sep,26,29,36,1,22-Sep,22-Sep,1,
14,29-Sep,26,29,36,1,22-Sep,22-Sep,1,
15,29-Sep,26,29,36,1,22-Sep,22-Sep,1,
16,29-Sep,26,30,34,1,22-Sep,22-Sep,1,
17,29-Sep,26,30,34,1,22-Sep,22-Sep,1,
18,29-Sep,26,30,34,1,22-Sep,22-Sep,1,
19,29-Sep,26,32,37,1,22-Sep,22-Sep,1,
20,29-Sep,26,32,37,1,22-Sep,22-Sep,1,
21,29-Sep,26,32,37,1,22-Sep,22-Sep,1,
22,29-Sep,26,25,33,1,22-Sep,22-Sep,1,
23,29-Sep,26,25,33,1,22-Sep,22-Sep,1,
24,30-Sep,26,25,33,1,22-Sep,22-Sep,1,
25,30-Sep,21,8,53,1,23-Sep,23-Sep,1,
26,30-Sep,21,8,53,1,23-Sep,23-Sep,1,
27,30-Sep,21,8,53,1,23-Sep,23-Sep,1,
28,30-Sep,21,8,53,1,23-Sep,23-Sep,1,
29,30-Sep,21,6,52,1,23-Sep,23-Sep,1,
30,30-Sep,21,6,52,1,23-Sep,23-Sep,1,
31,30-Sep,21,6,52,1,23-Sep,23-Sep,1,
32,30-Sep,21,15,61,1,23-Sep,23-Sep,1,
33,30-Sep,21,15,61,1,23-Sep,23-Sep,1,
34,30-Sep,21,11,58,1,23-Sep,23-Sep,1,
35,30-Sep,21,11,58,1,23-Sep,23-Sep,1,
36,30-Sep,21,11,58,1,23-Sep,23-Sep,1,
37,30-Sep,21,9,55,1,23-Sep,23-Sep,1,
38,30-Sep,21,9,55,1,23-Sep,23-Sep,1,
39,30-Sep,21,10,57,1,23-Sep,23-Sep,1,
40,30-Sep,21,10,57,1,23-Sep,23-Sep,1,
41,30-Sep,21,10,57,1,23-Sep,23-Sep,1,
42,30-Sep,21,10,57,1,23-Sep,23-Sep,1,
43,30-Sep,26,29,45,1,23-Sep,23-Sep,1,
44,30-Sep,26,29,45,1,23-Sep,23-Sep,1,
45,30-Sep,26,29,45,1,23-Sep,23-Sep,1,
46,30-Sep,26,30,46,1,23-Sep,23-Sep,1,
47,30-Sep,26,30,46,1,23-Sep,23-Sep,1,
48,30-Sep,26,30,46,1,23-Sep,23-Sep,1,
49,30-Sep,26,32,44,1,23-Sep,23-Sep,1,
50,30-Sep,26,32,44,1,23-Sep,23-Sep,1,
51,30-Sep,26,32,44,1,23-Sep,23-Sep,1,
52,30-Sep,26,31,47,1,23-Sep,23-Sep,1,
53,30-Sep,26,31,47,1,23-Sep,23-Sep,1,
54,30-Sep,26,31,47,1,23-Sep,23-Sep,1,
55,30-Sep,26,31,47,1,23-Sep,23-Sep,1,
56,30-Sep,26,25,42,1,23-Sep,23-Sep,1,
57,30-Sep,26,25,42,1,23-Sep,23-Sep,1,
58,30-Sep,26,25,42,1,23-Sep,23-Sep,1,
59,30-Sep,26,25,42,1,23-Sep,23-Sep,1,
60,30-Sep,26,25,42,1,23-Sep,23-Sep,1,
61,1-Oct,21,8,65,1,24-Sep,24-Sep,1,
62,1-Oct,21,6,64,1,24-Sep,24-Sep,1,
63,1-Oct,21,6,64,1,24-Sep,24-Sep,1,
64,1-Oct,21,6,64,1,24-Sep,24-Sep,1,
65,1-Oct,21,15,69,1,24-Sep,24-Sep,1,
